id_vaga,id_candidato,estado,modalidade,tipo_contratacao,nivel_profissional_vaga,nivel_ingles_vaga,nivel_espanhol_vaga,nivel_profissional_cand,nivel_ingles_cand,nivel_espanhol_cand,dias_ate_update
4561,18077.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,None,None,0.0
4562,24899.0,São Paulo,None,CLT Cotas,Pleno,Nenhum,Nenhum,None,None,None,0.0
4563,,São Paulo,None,CLT Cotas,Júnior,Nenhum,Nenhum,None,None,None,0.0
4564,25030.0,São Paulo,None,CLT Cotas,Pleno,Nenhum,Nenhum,None,None,None,0.0
4565,26228.0,São Paulo,None,CLT Full,Sênior,Nenhum,Nenhum,None,None,None,0.0
4565,22767.0,São Paulo,None,CLT Full,Sênior,Nenhum,Nenhum,None,None,None,0.0
4565,19075.0,São Paulo,None,CLT Full,Sênior,Nenhum,Nenhum,None,Básico,Nenhum,0.0
4566,25269.0,São Paulo,None,CLT Cotas,Pleno,Nenhum,Nenhum,None,None,None,0.0
4566,20393.0,São Paulo,None,CLT Cotas,Pleno,Nenhum,Nenhum,None,Avançado,Básico,102.0
4567,25810.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Avançado,Básico,0.0
4567,25679.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Intermediário,Nenhum,0.0
4567,25100.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Intermediário,Básico,0.0
4567,23287.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Intermediário,None,0.0
4567,5191.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4567,4015.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4568,25383.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,0.0
4568,25348.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,Básico,Nenhum,76.0
4568,25326.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,77.0
4568,5115.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Nenhum,None,None,None,0.0
4569,25953.0,São Paulo,None,Cooperado,Sênior,Técnico,Nenhum,None,Intermediário,Básico,0.0
4569,25921.0,São Paulo,None,Cooperado,Sênior,Técnico,Nenhum,None,Intermediário,Nenhum,0.0
4569,25319.0,São Paulo,None,Cooperado,Sênior,Técnico,Nenhum,None,None,None,24.0
4570,25347.0,São Paulo,None,PJ/Autônomo,Sênior,Fluente,Nenhum,None,None,None,0.0
4570,25123.0,São Paulo,None,PJ/Autônomo,Sênior,Fluente,Nenhum,None,None,None,0.0
4570,21558.0,São Paulo,None,PJ/Autônomo,Sênior,Fluente,Nenhum,None,Básico,Fluente,0.0
4571,25925.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Intermediário,Intermediário,0.0
4571,25906.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Intermediário,Nenhum,0.0
4571,21558.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Básico,Fluente,0.0
4572,21871.0,São Paulo,None,PJ/Autônomo,Sênior,Técnico,Avançado,None,None,None,1.0
4573,25458.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4573,24224.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4573,21257.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4573,20379.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4573,9089.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,0.0
4574,24992.0,São Paulo,None,CLT Full,Especialista,Avançado,Nenhum,None,None,None,6.0
4574,24960.0,São Paulo,None,CLT Full,Especialista,Avançado,Nenhum,None,None,None,70.0
4575,,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4576,25590.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Nenhum,0.0
4576,18847.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Intermediário,0.0
4576,18348.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Básico,0.0
4576,13500.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Avançado,0.0
4577,25376.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4577,23261.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Avançado,Intermediário,0.0
4578,25380.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Nenhum,0.0
4578,25379.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Avançado,Básico,0.0
4579,,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4580,,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4581,25526.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Intermediário,0.0
4581,25515.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Intermediário,0.0
4581,25356.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4581,25318.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,2.0
4582,25557.0,São Paulo,None,CLT Full,Especialista,Avançado,Intermediário,None,None,None,0.0
4582,25543.0,São Paulo,None,CLT Full,Especialista,Avançado,Intermediário,None,None,None,0.0
4583,25512.0,São Paulo,None,CLT Full,Especialista,Avançado,Intermediário,None,None,None,0.0
4583,25407.0,São Paulo,None,CLT Full,Especialista,Avançado,Intermediário,None,None,None,0.0
4583,25377.0,São Paulo,None,CLT Full,Especialista,Avançado,Intermediário,None,None,None,0.0
4584,25385.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Avançado,None,None,None,1.0
4584,25381.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Avançado,None,None,None,0.0
4585,25477.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,6.0
4585,25472.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4585,25462.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4585,25453.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4585,25410.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4585,25409.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,1.0
4585,25408.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4586,25322.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,Pleno,None,None,0.0
4587,25911.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Nenhum,0.0
4587,22779.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4588,25322.0,Paraná,None,"PJ/Autônomo, CLT Full",Analista,Avançado,Básico,Pleno,None,None,0.0
4588,19075.0,Paraná,None,"PJ/Autônomo, CLT Full",Analista,Avançado,Básico,None,Básico,Nenhum,0.0
4589,9847.0,São Paulo,None,PJ/Autônomo,Sênior,Avançado,Nenhum,None,None,None,6.0
4590,25375.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Intermediário,Nenhum,0.0
4590,25374.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4590,24703.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Básico,Básico,0.0
4590,24236.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4590,24135.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,1.0
4590,23967.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4590,23903.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4590,23792.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4590,23786.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4590,23324.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,None,None,0.0
4590,21126.0,São Paulo,None,PJ/Autônomo,Pleno,Nenhum,Nenhum,None,Avançado,Básico,26.0
4591,25928.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4591,25115.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4591,22449.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4591,11257.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,17.0
4592,19075.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Básico,Nenhum,0.0
4593,25365.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Básico,19.0
4593,19574.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4593,18968.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Avançado,Intermediário,3.0
4594,25389.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Fluente,Básico,0.0
4594,3059.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4595,25780.0,Minas Gerais,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Básico,Intermediário,1.0
4596,24986.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,None,None,5.0
4597,25411.0,São Paulo,None,CLT Full,Sênior,Nenhum,Nenhum,None,None,None,0.0
4597,23631.0,São Paulo,None,CLT Full,Sênior,Nenhum,Nenhum,None,None,None,0.0
4597,19075.0,São Paulo,None,CLT Full,Sênior,Nenhum,Nenhum,None,Básico,Nenhum,0.0
4598,25883.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,Avançado,Intermediário,0.0
4598,25882.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,Avançado,Básico,0.0
4598,25262.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,None,None,10.0
4598,15247.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,None,None,1.0
4598,11074.0,São Paulo,None,CLT Cotas,Sênior,Nenhum,Nenhum,None,None,None,0.0
4599,26183.0,Paraná,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Avançado,Nenhum,6.0
4599,15162.0,Paraná,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Fluente,Básico,0.0
4600,25643.0,São Paulo,None,CLT Full,Sênior,Nenhum,Nenhum,None,None,None,25.0
4600,19075.0,São Paulo,None,CLT Full,Sênior,Nenhum,Nenhum,None,Básico,Nenhum,0.0
4601,25661.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Básico,4.0
4601,25135.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4601,24738.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4601,24664.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4601,24637.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4601,24078.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4602,,Paraná,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4603,25403.0,São Paulo,None,Cooperado,Pleno,Nenhum,Nenhum,None,Intermediário,Intermediário,1.0
4603,22820.0,São Paulo,None,Cooperado,Pleno,Nenhum,Nenhum,None,None,None,0.0
4603,19348.0,São Paulo,None,Cooperado,Pleno,Nenhum,Nenhum,None,None,None,0.0
4603,15207.0,São Paulo,None,Cooperado,Pleno,Nenhum,Nenhum,None,None,None,0.0
4604,18370.0,São Paulo,None,"Hunting, PJ/Autônomo, CLT Full",Sênior,Básico,Básico,None,None,None,0.0
4605,25400.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Intermediário,Básico,None,None,None,32.0
4605,21308.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Intermediário,Básico,None,None,None,33.0
4606,22638.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,1.0
4606,22494.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,1.0
4606,22347.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,1.0
4607,26116.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4607,26115.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Avançado,Intermediário,0.0
4607,26063.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,1.0
4607,26061.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4607,26060.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4607,26059.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Intermediário,0.0
4607,6754.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4607,1677.0,São Paulo,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4608,25658.0,São Paulo,None,"PJ/Autônomo, CLT Full",Sênior,Básico,Básico,None,Intermediário,Nenhum,1.0
4608,21307.0,São Paulo,None,"PJ/Autônomo, CLT Full",Sênior,Básico,Básico,None,Básico,Nenhum,1.0
4609,25521.0,São Paulo,None,PJ/Autônomo,Sênior,Intermediário,Nenhum,None,None,None,0.0
4609,21858.0,São Paulo,None,PJ/Autônomo,Sênior,Intermediário,Nenhum,None,None,None,1.0
4609,7577.0,São Paulo,None,PJ/Autônomo,Sênior,Intermediário,Nenhum,None,Básico,Intermediário,10.0
4609,3079.0,São Paulo,None,PJ/Autônomo,Sênior,Intermediário,Nenhum,None,None,None,0.0
4610,16840.0,São Paulo,None,PJ/Autônomo,Pleno,Fluente,Nenhum,None,None,None,0.0
4611,25401.0,São Paulo,None,CLT Full,Sênior,Fluente,Nenhum,None,None,None,0.0
4611,23334.0,São Paulo,None,CLT Full,Sênior,Fluente,Nenhum,None,None,None,0.0
4611,700.0,São Paulo,None,CLT Full,Sênior,Fluente,Nenhum,None,None,None,0.0
4612,25562.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4612,25556.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
4612,25555.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Intermediário,Básico,0.0
4612,25554.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,Básico,Intermediário,0.0
4612,25553.0,Pernambuco,None,"PJ/Autônomo, CLT Full",Analista,Básico,Básico,None,None,None,0.0
